"","state","density","population"
"1","Alabama",64.194,4.903
"2","Alaska",5.625,0.732
"3","Arizona",76.011,7.279
"4","Arkansas",40.781,3.018
"5","California",329.123,39.512
"6","Colorado",121.156,5.759
"7","Connecticut",371.439,3.565
"8","Delaware",259.754,0.974
"9","Florida",286.392,21.478
"10","Georgia",204.405,10.617
"11","Hawaii",250.577,1.416
"12","Idaho",35.138,1.787
"13","Illinois",410.564,12.672
"14","Indiana",138.052,6.732
"15","Iowa",43.676,3.155
"16","Kansas",64.891,2.913
"17","Kentucky",91.305,4.468
"18","Louisiana",97.165,4.649
"19","Maine",37.415,1.344
"20","Maryland",453.378,6.046
"21","Massachusetts",552.354,6.893
"22","Michigan",201.263,9.987
"23","Minnesota",128.88,5.64
"24","Mississippi",37.282,2.976
"25","Missouri",113.87,6.137
"26","Montana",6.875,1.069
"27","Nebraska",70.961,1.934
"28","Nevada",64.351,3.08
"29","New Hampshire",95.416,1.36
"30","New Jersey",785.426,8.882
"31","New Mexico",24.91,2.097
"32","New York",1322.99,19.454
"33","North Carolina",150.632,10.488
"34","North Dakota",9.608,0.762
"35","Ohio",228.178,11.689
"36","Oklahoma",73.17,3.957
"37","Oregon",76.903,4.218
"38","Pennsylvania",275.998,12.802
"39","Rhode Island",455.294,1.059
"40","South Carolina",97.514,5.149
"41","South Dakota",12.533,0.885
"42","Tennessee",123.679,6.829
"43","Texas",245.431,28.996
"44","Utah",135.237,3.206
"45","Vermont",34.09,0.624
"46","Virginia",286.827,8.536
"47","Washington",129.547,7.615
"48","West Virginia",44.76,1.792
"49","Wisconsin",112.485,5.822
"50","Wyoming",3.27,0.579
