"","state","density"
"1","New York",28161.5
"2","Hawaii",8479.7
"3","California",8213
"4","New Jersey",7940.6
"5","Illinois",6660.8
"6","Massachusetts",6585.6
"7","Nevada",5419.5
"8","Rhode Island",5034
"9","Pennsylvania",4886.8
"10","Maryland",4555
"11","Florida",3750.6
"12","Connecticut",3583
"13","Arizona",3582.5
"14","Colorado",3500
"15","Utah",3429.9
"16","Washington",3344.8
"17","Virginia",3249.6
"18","Texas",3138.6
"19","Oregon",3113.8
"20","Delaware",2643.5
"21","Wisconsin",2598.5
"22","Michigan",2527.3
"23","Minnesota",2416.5
"24","Ohio",2388.8
"25","Nebraska",2285.2
"26","New Mexico",2108.8
"27","Louisiana",1931.2
"28","Missouri",1895.7
"29","Alaska",1834.1
"30","Kansas",1772.6
"31","Indiana",1740
"32","Oklahoma",1602.3
"33","North Dakota",1569.1
"34","Georgia",1550.9
"35","Idaho",1488.8
"36","Kentucky",1464.2
"37","Iowa",1463.1
"38","New Hampshire",1320.9
"39","Tennessee",1288.4
"40","North Carolina",1181.9
"41","Montana",1088.3
"42","South Dakota",1045.9
"43","South Carolina",1018.7
"44","Wyoming",998.5
"45","Vermont",947.2
"46","Alabama",942.2
"47","Maine",881.7
"48","Arkansas",807.9
"49","West Virginia",792.1
"50","Mississippi",694.9
