"","state","population"
"1","Alabama",4.903
"2","Alaska",0.732
"3","Arizona",7.279
"4","Arkansas",3.018
"5","California",39.512
"6","Colorado",5.759
"7","Connecticut",3.565
"8","Delaware",0.974
"9","District of Columbia",0.702
"10","Florida",21.478
"11","Georgia",10.617
"12","Hawaii",1.416
"13","Idaho",1.787
"14","Illinois",12.672
"15","Indiana",6.732
"16","Iowa",3.155
"17","Kansas",2.913
"18","Kentucky",4.468
"19","Louisiana",4.649
"20","Maine",1.344
"21","Maryland",6.046
"22","Massachusetts",6.893
"23","Michigan",9.987
"24","Minnesota",5.64
"25","Mississippi",2.976
"26","Missouri",6.137
"27","Montana",1.069
"28","Nebraska",1.934
"29","Nevada",3.08
"30","New Hampshire",1.36
"31","New Jersey",8.882
"32","New Mexico",2.097
"33","New York",19.454
"34","North Carolina",10.488
"35","North Dakota",0.762
"36","Ohio",11.689
"37","Oklahoma",3.957
"38","Oregon",4.218
"39","Pennsylvania",12.802
"40","Rhode Island",1.059
"41","South Carolina",5.149
"42","South Dakota",0.885
"43","Tennessee",6.829
"44","Texas",28.996
"45","Utah",3.206
"46","Vermont",0.624
"47","Virginia",8.536
"48","Washington",7.615
"49","West Virginia",1.792
"50","Wisconsin",5.822
"51","Wyoming",0.579
